datetime,power,capacity,spot_price_prediction
2021-01-04 03:30:00,-300.0,310.0,6.005550038909931
2021-01-04 04:00:00,-300.0,445.0,6.932754276878441
2021-01-04 04:30:00,0.0,580.0,11.759514293515709
2021-01-04 05:00:00,0.0,580.0,14.730243198256233
2021-01-04 05:30:00,0.0,580.0,20.469900949507007
2021-01-04 06:00:00,0.0,580.0,28.97425849073079
2021-01-04 06:30:00,0.0,580.0,33.0326127700271
2021-01-04 07:00:00,260.0,580.0,43.39072760329407
2021-01-04 07:30:00,0.0,450.0,41.53153421512632
2021-01-04 08:00:00,0.0,450.0,42.502954430809
2021-01-04 08:30:00,300.0,450.0,47.8291328639084
2021-01-04 09:00:00,300.0,300.0,47.48453874320265
2021-01-04 09:30:00,300.0,150.0,45.07074953965064
2021-01-04 10:00:00,0.0,0.0,42.89294859854864
2021-01-04 10:30:00,0.0,0.0,37.03436594373031
2021-01-04 11:00:00,0.0,0.0,35.65176158186671
2021-01-04 11:30:00,-300.0,0.0,33.46010579633332
2021-01-04 12:00:00,-300.0,135.0,32.71597256210511
2021-01-04 12:30:00,-300.0,270.0,32.26826138780514
2021-01-04 13:00:00,-300.0,405.0,33.60763888339372
2021-01-04 13:30:00,-88.8888888888889,540.0,34.11774101468899
2021-01-04 14:00:00,0.0,580.0,34.93650152229294
2021-01-04 14:30:00,0.0,580.0,37.01000955272551
2021-01-04 15:00:00,0.0,580.0,36.26539178709975
2021-01-04 15:30:00,0.0,580.0,37.66612972114325
2021-01-04 16:00:00,0.0,580.0,41.270623170755925
2021-01-04 16:30:00,0.0,580.0,44.06801886433337
2021-01-04 17:00:00,300.0,580.0,55.07948617690235
2021-01-04 17:30:00,260.0,430.0,50.12622245055268
2021-01-04 18:00:00,300.0,300.0,52.1092206645305
2021-01-04 18:30:00,300.0,150.0,52.87894269722348
2021-01-04 19:00:00,0.0,0.0,48.21709953467831
2021-01-04 19:30:00,0.0,0.0,46.91417779722239
2021-01-04 20:00:00,0.0,0.0,44.53230154750477
2021-01-04 20:30:00,0.0,0.0,46.61896165402436
2021-01-04 21:00:00,0.0,0.0,39.924771247155874
2021-01-04 21:30:00,0.0,0.0,37.06488461490864
2021-01-04 22:00:00,0.0,0.0,32.97799742815438
2021-01-04 22:30:00,0.0,0.0,27.92837325101955
2021-01-04 23:00:00,0.0,0.0,25.818936768180933
2021-01-04 23:30:00,0.0,0.0,29.94028039899889
2021-01-05 00:00:00,0.0,0.0,13.908617623020293
2021-01-05 00:30:00,0.0,0.0,7.965985193642354
2021-01-05 01:00:00,0.0,0.0,1.8668342517412528
2021-01-05 01:30:00,0.0,0.0,-1.3247295312931584
2021-01-05 02:00:00,0.0,0.0,-7.311996556549474
2021-01-05 02:30:00,-88.8888888888889,0.0,-9.486416318808397
2021-01-05 03:00:00,-300.0,40.0,-11.630863777043103
2021-01-05 03:30:00,-300.0,175.0,-12.069414904003736
2021-01-05 04:00:00,-300.0,310.0,-11.643068453146398
2021-01-05 04:30:00,-300.0,445.0,-10.333858348602108
2021-01-05 05:00:00,0.0,580.0,-7.088809607983734
2021-01-05 05:30:00,0.0,580.0,-1.0279105784423734
2021-01-05 06:00:00,0.0,580.0,4.7596276322426405
2021-01-05 06:30:00,0.0,580.0,9.947913553371862
2021-01-05 07:00:00,0.0,580.0,19.06271364765813
2021-01-05 07:30:00,0.0,580.0,17.678392172762088
2021-01-05 08:00:00,0.0,580.0,18.55382981094327
2021-01-05 08:30:00,0.0,580.0,18.98268069105157
2021-01-05 09:00:00,0.0,580.0,19.205507307065588
2021-01-05 09:30:00,0.0,580.0,18.55489918683243
2021-01-05 10:00:00,0.0,580.0,16.68911087639505
2021-01-05 10:30:00,0.0,580.0,16.32045290984587
2021-01-05 11:00:00,0.0,580.0,15.957957192967726
2021-01-05 11:30:00,0.0,580.0,16.562189588140484
2021-01-05 12:00:00,0.0,580.0,17.13635216418072
2021-01-05 12:30:00,0.0,580.0,17.460229490644352
2021-01-05 13:00:00,0.0,580.0,18.329090600466916
2021-01-05 13:30:00,0.0,580.0,20.5186376757224
2021-01-05 14:00:00,0.0,580.0,21.307480430109663
2021-01-05 14:30:00,0.0,580.0,22.275063545476318
2021-01-05 15:00:00,0.0,580.0,22.689783218440496
2021-01-05 15:30:00,0.0,580.0,30.459672372886857
2021-01-05 16:00:00,0.0,580.0,27.327650136733737
2021-01-05 16:30:00,0.0,580.0,27.71520964043006
2021-01-05 17:00:00,0.0,580.0,26.15971263728329
2021-01-05 17:30:00,300.0,580.0,32.663534600447136
2021-01-05 18:00:00,300.0,430.0,32.741513764066866
2021-01-05 18:30:00,300.0,280.0,33.77364389181861
2021-01-05 19:00:00,260.0,130.0,31.63169622424645
2021-01-05 19:30:00,0.0,0.0,26.271862169786303
2021-01-05 20:00:00,0.0,0.0,27.518654404471548
2021-01-05 20:30:00,0.0,0.0,25.94855479979768
2021-01-05 21:00:00,0.0,0.0,21.06185345708356
2021-01-05 21:30:00,0.0,0.0,19.0002215655898
2021-01-05 22:00:00,0.0,0.0,13.153236102099712
2021-01-05 22:30:00,-300.0,0.0,9.420452824912276
2021-01-05 23:00:00,-300.0,135.0,6.624589096751947
2021-01-05 23:30:00,-66.6666666666667,270.0,11.460764532115816
2021-01-06 00:00:00,300.0,300.0,29.82663245520027
